date,product_id,sales,category,region,price,discount,rating,views,clicks,cost_price,selling price,predicted price,country
2024-01-01,P017,54,A,South,66.9,2.85,4,3046,34,64.05000000000001,64.99335,66.89999999984619,Maldives
2024-01-02,P018,48,B,North,85.26,5.02,3,337,85,80.24000000000001,80.97994800000001,85.26000000003668,Bhutan
2024-01-03,P004,56,E,North,70.81,35.53,2,3467,253,35.28,45.651207,70.81000000015166,Bhutan
2024-01-04,P003,65,C,North,51.85,5.16,2,3065,307,46.69,49.17454,51.85000000008513,Bhutan
2024-01-05,P008,47,D,West,67.4,24.02,5,3926,87,43.38000000000001,51.21052,67.39999999980495,Afghanistan
2024-01-06,P004,47,A,East,39.0,9.23,2,3741,300,29.77,35.4003,39.000000000140425,Bangladesh
2024-01-07,P015,65,A,South,22.97,7.04,3,4948,396,15.93,21.352912,22.96999999989612,Indonesia
2024-01-08,P013,57,E,North,38.77,19.52,2,692,27,19.250000000000004,31.202096000000004,38.77000000004916,Nepal
2024-01-09,P014,45,A,North,49.93,6.29,1,4111,195,43.64,46.789403,49.93000000003848,Bhutan
2024-01-10,P014,55,E,South,49.53,11.58,3,3408,210,37.95,43.794426,49.52999999989862,Indonesia
2024-01-11,P005,45,A,South,76.38,10.15,5,463,18,66.22999999999999,68.62742999999999,76.37999999981142,Sri Lanka
2024-01-12,P005,45,A,West,94.27,31.88,1,4876,461,62.39,64.216724,94.27000000015808,Pakistan
2024-01-13,P013,52,E,North,45.01,28.55,3,1186,12,16.459999999999997,32.159645,45.00999999999625,India
2024-01-14,P004,31,D,North,17.78,1.95,1,2027,123,15.830000000000002,17.43329,17.780000000068238,Nepal
2024-01-15,P018,33,A,West,13.01,3.92,3,628,98,9.09,12.500008,13.009999999991866,Pakistan
2024-01-16,P006,44,B,West,10.36,4.38,4,2991,168,5.98,9.906232,10.359999999866508,Afghanistan
2024-01-17,P005,40,C,South,94.43,22.44,2,3024,394,71.99000000000001,73.239908,94.43000000004828,Sri Lanka
2024-01-18,P003,53,E,East,99.61,18.44,4,3933,104,81.17,81.241916,99.61000000003752,Thailand
2024-01-19,P020,41,A,South,14.62,3.25,5,4888,179,11.37,14.14485,14.61999999961004,Sri Lanka
2024-01-20,P003,36,D,West,42.24,17.67,4,3156,190,24.57,34.776192,42.23999999988786,Iran
2024-01-21,P003,65,B,East,70.24,30.82,2,3153,126,39.42,48.592032,70.24000000019174,Bangladesh
2024-01-22,P020,48,E,West,26.11,7.23,3,1943,259,18.88,24.222247,26.10999999988232,Iran
2024-01-23,P002,51,B,North,63.5,9.19,1,1328,149,54.31,57.66435,63.50000000007067,Bhutan
2024-01-24,P020,36,C,West,83.23,2.98,3,2472,324,80.25,80.749746,83.22999999981951,Pakistan
2024-01-25,P018,44,D,East,87.23,21.84,3,2805,66,65.39,68.178968,87.23000000000934,Thailand
2024-01-26,P010,51,E,East,73.58,25.67,1,1482,97,47.91,54.692014,73.58000000012333,Myanmar
2024-01-27,P007,38,E,North,17.36,0.63,1,3120,234,16.73,17.250632,17.36000000006715,Nepal
2024-01-28,P020,54,A,North,41.36,3.92,1,4571,403,37.44,39.738688,41.35999999998744,India
2024-01-29,P014,44,B,East,97.06,55.31,4,1651,467,41.75,43.376114,97.06000000005386,Bangladesh
2024-01-30,P010,47,E,South,27.35,7.39,5,609,299,19.96,25.328835,27.349999999824355,Maldives
2024-01-31,P020,44,B,West,50.85,18.32,1,2743,122,32.53,41.53428,50.84999999998036,Iran
2024-02-01,P016,69,C,South,40.08,19.63,1,4547,18,20.45,32.212295999999995,40.08000000003385,Sri Lanka
2024-02-02,P006,50,A,North,28.5,16.24,4,4050,96,12.260000000000002,23.8716,28.49999999998489,Bhutan
2024-02-03,P017,40,C,West,39.12,30.6,2,2047,44,8.519999999999996,27.14928,39.11999999998034,Pakistan
2024-02-04,P006,58,A,West,27.06,11.57,4,4001,304,15.489999999999998,23.929158,27.059999999916958,Iran
2024-02-05,P018,38,A,North,88.95,31.97,5,2956,170,56.98,60.512685000000005,88.94999999987363,Nepal
2024-02-06,P010,52,B,South,25.7,8.47,2,3705,468,17.229999999999997,23.52321,25.700000000031046,Sri Lanka
2024-02-07,P010,31,A,South,66.12,24.24,5,3366,249,41.88000000000001,50.092512000000006,66.11999999983587,Sri Lanka
2024-02-08,P009,37,C,North,94.81,13.78,4,2521,356,81.03,81.745182,94.8099999999108,India
2024-02-09,P015,52,C,South,95.74,22.5,4,2129,354,73.24,74.1985,95.73999999989226,Maldives
2024-02-10,P011,58,C,East,64.04,25.37,1,3429,120,38.67,47.793052,64.0400000001878,Myanmar
2024-02-11,P007,52,B,North,34.38,15.07,3,4310,295,19.31,29.198934,34.38000000004487,Bhutan
2024-02-12,P018,49,B,East,32.31,4.72,1,319,15,27.590000000000003,30.784968000000003,32.31000000021029,Thailand
2024-02-13,P002,47,D,East,77.27,29.13,1,2711,273,48.14,54.76124899999999,77.27000000018964,Myanmar
2024-02-14,P002,36,E,East,98.26,19.12,3,4419,436,79.14,79.472688,98.2600000001112,Bangladesh
2024-02-15,P013,43,D,West,16.98,4.07,4,2025,486,12.91,16.288914000000002,16.97999999986203,Iran
2024-02-16,P011,46,D,East,81.05,13.86,3,3395,86,67.19,69.81647,81.0500000000064,Thailand
2024-02-17,P019,61,A,South,21.07,11.73,3,2296,342,9.34,18.598489,21.069999999984557,Indonesia
2024-02-18,P020,54,A,North,36.84,18.17,5,1898,425,18.67,30.146172,36.83999999993331,Bhutan
2024-02-19,P001,33,D,South,61.0,31.12,2,667,278,29.88,42.0168,60.99999999998148,Sri Lanka
2024-02-20,P017,54,E,East,36.75,15.42,1,785,287,21.33,31.08315,36.75000000016759,Myanmar
2024-02-21,P020,47,D,East,68.52,43.49,4,2385,401,25.03,38.720652,68.52000000003255,Bangladesh
2024-02-22,P018,44,B,East,47.55,7.09,2,1399,421,40.46,44.178705,47.55000000011799,Myanmar
2024-02-23,P008,57,C,East,29.72,3.08,3,307,368,26.64,28.804624,29.719999999977976,Myanmar
2024-02-24,P013,61,D,North,57.78,11.55,4,4744,279,46.23,51.10641,57.77999999989547,India
2024-02-25,P004,60,A,North,12.16,3.15,3,3222,10,9.01,11.77696,12.160000000032117,Nepal
2024-02-26,P019,42,E,West,76.7,21.44,3,898,80,55.260000000000005,60.25552,76.6999999999305,Pakistan
2024-02-27,P003,47,A,North,57.01,4.35,5,2830,245,52.66,54.530065,57.00999999988737,Nepal
2024-02-28,P006,54,B,East,95.2,3.56,1,1693,409,91.64,91.81088,95.20000000010003,Myanmar
2024-02-29,P006,60,A,West,19.25,5.33,4,3748,110,13.92,18.223975,19.249999999890026,Iran
2024-03-01,P006,46,A,East,75.91,4.1,1,274,293,71.81,72.79769,75.91000000006551,Thailand
2024-03-02,P008,49,E,West,37.09,5.51,1,2761,398,31.580000000000005,35.046341000000005,37.09000000002089,Pakistan
2024-03-03,P017,40,E,North,43.58,9.67,5,761,33,33.91,39.365814,43.57999999987987,Bhutan
2024-03-04,P010,39,A,North,41.36,7.44,3,2596,384,33.92,38.282816,41.35999999999468,Nepal
2024-03-05,P005,59,A,North,42.22,15.76,2,1685,448,26.46,35.566128,42.22000000008485,Bhutan
2024-03-06,P019,64,D,West,48.78,12.12,1,331,226,36.66,42.867864,48.78000000008516,Iran
2024-03-07,P011,50,B,South,11.89,5.99,4,3496,82,5.9,11.177789,11.88999999986678,Indonesia
2024-03-08,P010,61,D,East,86.21,36.04,3,1732,477,50.17,55.139916,86.21000000005606,Bangladesh
2024-03-09,P003,54,E,North,89.36,40.1,4,3713,31,49.26,53.52664,89.36000000005183,Bhutan
2024-03-10,P010,44,D,North,13.56,7.47,1,1955,87,6.090000000000001,12.547068,13.560000000092144,Nepal
2024-03-11,P002,54,D,East,79.84,7.76,3,4142,478,72.08,73.644416,79.840000000103,Bangladesh
2024-03-12,P009,66,A,South,16.5,6.1,2,4023,49,10.4,15.4935,16.50000000003168,Maldives
2024-03-13,P005,50,A,East,82.7,12.27,3,3269,436,70.43,72.55271,82.70000000007224,Myanmar
2024-03-14,P017,66,B,North,65.17,27.61,3,807,485,37.56,47.176563,65.17000000004694,India
2024-03-15,P006,25,C,North,37.57,9.06,5,3764,401,28.51,34.166158,37.569999999868855,Nepal
2024-03-16,P011,59,C,South,65.25,5.42,1,4843,13,59.83,61.71345,65.25000000001165,Indonesia
2024-03-17,P005,52,D,West,55.6,26.56,4,1957,426,29.040000000000003,40.83264,55.59999999990917,Afghanistan
2024-03-18,P007,48,B,South,67.22,15.62,1,1417,313,51.6,56.720236,67.2200000000723,Indonesia
2024-03-19,P007,52,B,East,52.78,13.47,1,844,178,39.31,45.670534,52.78000000010656,Thailand
2024-03-20,P004,31,E,North,79.56,7.16,3,4932,430,72.4,73.863504,79.55999999999062,India
2024-03-21,P010,49,A,South,14.07,8.22,4,518,404,5.85,12.913446,14.06999999994482,Maldives
2024-03-22,P018,55,E,North,40.99,21.86,5,2956,464,19.130000000000003,32.029586,40.98999999987619,India
2024-03-23,P001,66,C,West,60.34,16.73,3,2670,98,43.61,50.245118000000005,60.33999999999005,Afghanistan
2024-03-24,P014,46,B,South,62.94,29.9,5,4168,148,33.04,44.12094,62.939999999816216,Indonesia
2024-03-25,P006,43,C,South,25.26,2.19,4,199,126,23.07,24.706806,25.259999999867983,Sri Lanka
2024-03-26,P011,46,A,North,16.71,3.1,3,2991,173,13.61,16.19199,16.709999999978493,Bhutan
2024-03-27,P014,60,A,West,11.89,6.41,3,1990,50,5.48,11.127851,11.889999999942678,Pakistan
2024-03-28,P020,54,A,North,47.17,1.17,1,219,102,46.0,46.618111,47.17000000019948,Bhutan
2024-03-29,P003,46,C,East,39.73,13.97,1,3652,276,25.76,34.179719,39.7300000002016,Myanmar
2024-03-30,P016,56,B,East,61.1,7.29,3,848,100,53.81,56.64581,61.10000000005022,Myanmar
2024-03-31,P016,52,E,West,50.46,16.45,3,901,11,34.010000000000005,42.15933,50.45999999993212,Afghanistan
2024-04-01,P007,61,B,East,45.47,14.74,3,815,116,30.73,38.767722,45.46999999999459,Thailand
2024-04-02,P008,44,B,North,85.9,14.94,3,1262,84,70.96000000000001,73.06654,85.89999999997124,India
2024-04-03,P004,48,D,South,65.94,29.79,4,3967,19,36.15,46.296474,65.93999999997143,Maldives
2024-04-04,P012,47,B,East,68.15,17.19,5,4685,216,50.96000000000001,56.43501500000001,68.14999999990283,Myanmar
2024-04-05,P012,37,E,West,44.36,19.81,2,1971,443,24.55,35.572284,44.35999999998205,Pakistan
2024-04-06,P010,54,D,West,79.92,35.92,5,1038,233,44.0,51.212736,79.91999999981357,Pakistan
2024-04-07,P012,54,B,North,23.69,6.65,1,2502,125,17.04,22.114615,23.690000000108853,Bhutan
2024-04-08,P011,51,D,East,46.18,9.41,5,4295,351,36.77,41.834462,46.179999999898456,Thailand
2024-04-09,P011,49,B,East,14.25,3.3,4,4698,41,10.95,13.77975,14.249999999921428,Myanmar
2024-04-10,P015,37,A,East,20.39,4.29,2,2213,305,16.1,19.515269,20.390000000094943,Thailand
2024-04-11,P006,47,A,West,17.34,4.59,4,3430,322,12.75,16.544094,17.339999999884867,Pakistan
2024-04-12,P011,48,B,West,49.73,8.07,5,4985,380,41.66,45.716789,49.729999999718245,Pakistan
2024-04-13,P002,43,D,West,72.76,5.27,2,3468,499,67.49000000000001,68.925548,72.76000000000877,Pakistan
2024-04-14,P009,50,E,South,38.14,6.73,1,2484,191,31.41,35.573178,38.14000000004357,Indonesia
2024-04-15,P011,55,A,North,12.39,4.03,5,3673,131,8.36,11.890683,12.38999999986645,Bhutan
2024-04-16,P016,70,D,South,73.65,36.9,5,3389,125,36.75000000000001,46.47315,73.64999999987066,Indonesia
2024-04-17,P013,53,E,West,28.67,1.63,5,3261,205,27.040000000000003,28.202679000000003,28.669999999719774,Pakistan
2024-04-18,P013,54,D,East,75.04,13.49,2,978,34,61.55,64.91710400000001,75.04000000007218,Thailand
2024-04-19,P018,51,B,East,10.66,4.4,5,3280,137,6.26,10.19096,10.659999999879116,Thailand
2024-04-20,P001,32,A,South,38.11,1.75,4,2943,486,36.36,37.443075,38.10999999994135,Maldives
2024-04-21,P020,51,A,West,65.91,32.68,4,4421,468,33.23,44.370612,65.90999999979084,Pakistan
2024-04-22,P010,52,A,West,88.4,34.31,2,3082,284,54.09,58.06996,88.4000000000319,Pakistan
2024-04-23,P019,76,B,West,77.87,57.79,5,4391,159,20.080000000000005,32.868927000000006,77.86999999986645,Pakistan
2024-04-24,P017,50,E,East,50.47,3.67,5,1425,427,46.8,48.617751,50.46999999989569,Thailand
2024-04-25,P001,55,E,East,74.67,7.09,2,3058,119,67.58,69.375897,74.67000000009494,Bangladesh
2024-04-26,P001,51,A,West,58.38,17.3,5,2548,320,41.08,48.28026,58.379999999875466,Afghanistan
2024-04-27,P017,40,E,South,83.21,42.15,1,2247,27,41.06,48.136985,83.21000000006887,Indonesia
2024-04-28,P015,63,A,North,79.49,20.91,1,4289,193,58.58,62.868641,79.49000000011631,Nepal
2024-04-29,P002,59,E,East,97.83,37.06,1,4676,118,60.77,61.57420199999999,97.83000000033628,Myanmar
2024-04-30,P011,60,A,East,19.44,9.72,4,4173,329,9.72,17.550432,19.440000000012837,Myanmar
2024-05-01,P002,43,E,North,40.66,10.7,5,3993,295,29.96,36.30938,40.65999999992104,Nepal
2024-05-02,P020,66,D,West,27.31,13.39,5,3661,349,13.919999999999998,23.653191,27.309999999715167,Iran
2024-05-03,P009,38,A,South,66.77,42.59,1,4989,134,24.18,38.332657,66.77000000013149,Maldives
2024-05-04,P019,58,A,South,69.76,2.59,5,3619,220,67.17,67.95321600000001,69.75999999974411,Indonesia
2024-05-05,P002,74,C,West,28.34,4.49,3,4350,143,23.85,27.067534,28.340000000014843,Afghanistan
2024-05-06,P016,42,A,East,47.94,11.21,2,3472,36,36.73,42.565926,47.94000000004844,Myanmar
2024-05-07,P020,46,E,West,64.19,20.98,4,4828,263,43.21,50.722938,64.18999999965109,Afghanistan
2024-05-08,P009,53,D,East,69.31,13.37,4,1192,323,55.940000000000005,60.04325300000001,69.3099999999277,Myanmar
2024-05-09,P020,47,D,South,19.24,5.64,1,2142,412,13.599999999999998,18.154864,19.24000000006059,Maldives
2024-05-10,P004,36,E,East,92.9,9.31,2,1390,16,83.59,84.25101000000001,92.9000000000083,Bangladesh
2024-05-11,P013,53,B,South,13.07,2.52,3,4069,225,10.55,12.740636,13.069999999891127,Maldives
2024-05-12,P015,41,A,South,97.56,50.82,4,569,131,46.74,47.980008000000005,97.55999999994998,Maldives
2024-05-13,P020,57,D,South,38.47,13.02,2,1895,446,25.45,33.461206,38.47000000002413,Sri Lanka
